"","from","Augur","Digix","Golem"
"160",2.38870624726655e+46,0,0,3
"161",2.40812848253353e+46,0,1,0
"162",2.48176089461442e+46,0,3,0
"163",2.5201497103962e+46,2,0,0
"164",2.53046257008526e+46,2,0,0
"165",2.5842214350069e+46,0,0,1
"166",2.63688596603035e+46,1,0,0
"167",2.72769348571768e+46,0,3,0
"168",2.73284906500895e+46,0,0,6
"169",2.7910035759568e+46,35,0,0
"170",2.80365685937776e+46,0,27,0
"171",2.82784843470217e+46,0,1,0
"172",2.83772990705643e+46,1,0,0
"173",2.84513496489047e+46,0,0,2
"174",2.86497706774621e+46,0,0,2
"175",2.86854123666542e+46,4,0,0
"176",2.88920214273499e+46,1,0,0
"177",2.89774222577412e+46,0,0,3
"178",2.92063525963371e+46,3,0,0
"179",2.97603818839758e+46,0,0,857
"180",3.00600697045168e+46,0,0,2
"181",3.05164736824494e+46,0,3,0
"182",3.05884176078484e+46,2,0,0
"183",3.08267151550767e+46,3,0,0
"184",3.11531551463588e+46,2,0,0
"185",3.12429497453865e+46,0,1,0
"186",3.15158461597245e+46,0,0,1
"187",3.16255322669174e+46,0,3,0
"188",3.19042206199512e+46,1,0,0
"189",3.26761566764187e+46,0,0,4
"190",3.33855673907679e+46,0,0,1
"191",3.34065487140885e+46,2,0,0
"192",3.37111263708816e+46,0,1,1
"193",3.37815674049442e+46,0,1,0
"194",3.4039007748085e+46,0,1,0
"195",3.43562043346052e+46,0,0,6
"196",3.44037394603494e+46,0,1,0
"197",3.44518267423613e+46,1,0,0
"198",3.45633264692614e+46,2,0,0
"199",3.46749383919476e+46,1,0,0
"200",3.4682667403063e+46,2,0,0
"201",3.54817095776086e+46,1,0,0
"202",3.56237441696574e+46,0,0,2
"203",3.58304228668697e+46,1,0,0
"204",3.58832508191878e+46,0,2,0
"205",3.58898301997534e+46,1,0,0
"206",3.60178999868339e+46,0,0,1
"207",3.61862524101236e+46,0,1,0
"208",3.63464855137316e+46,0,13,0
"209",3.66298471180424e+46,2,0,0
"210",3.69394169457254e+46,0,1,0
"211",3.69802482945909e+46,2,0,0
"212",3.71945255866042e+46,0,1,0
"213",3.77098332284098e+46,1,0,0
"214",3.82171008093256e+46,0,1,0
"215",3.83483827942942e+46,1,0,0
